lat,lon,current_speed,free_flow_speed,congestion_factor
44.37000000000002,26.10999999999997,33.0,33.0,0.0
44.37000000000002,26.11499999999997,21.0,21.0,0.0
44.37000000000002,26.11999999999997,52.0,52.0,0.0
44.37000000000002,26.124999999999968,31.0,31.0,0.0
44.37000000000002,26.129999999999967,46.0,46.0,0.0
44.37000000000002,26.134999999999966,45.0,45.0,0.0
44.37000000000002,26.139999999999965,41.0,41.0,0.0
44.37000000000002,26.144999999999964,58.0,58.0,0.0
44.37000000000002,26.149999999999963,58.0,58.0,0.0
44.37000000000002,26.154999999999962,58.0,58.0,0.0
44.37000000000002,26.15999999999996,58.0,58.0,0.0
44.37000000000002,26.16499999999996,56.0,56.0,0.0
44.37000000000002,26.16999999999996,35.0,45.0,0.2222222222222222
44.37000000000002,26.174999999999958,45.0,45.0,0.0
44.37000000000002,26.179999999999957,45.0,45.0,0.0
44.37000000000002,26.184999999999956,45.0,45.0,0.0
44.37000000000002,26.189999999999955,49.0,49.0,0.0
44.37000000000002,26.194999999999954,53.0,53.0,0.0
44.37000000000002,26.199999999999953,83.0,83.0,0.0
44.37000000000002,26.204999999999952,83.0,83.0,0.0
44.37000000000002,26.20999999999995,83.0,83.0,0.0
44.37000000000002,26.21499999999995,81.0,81.0,0.0
44.37000000000002,26.21999999999995,81.0,81.0,0.0
44.37000000000002,26.224999999999948,55.0,55.0,0.0
44.37500000000002,25.96,54.0,54.0,0.0
44.37500000000002,25.965,54.0,54.0,0.0
44.37500000000002,25.97,59.0,59.0,0.0
44.37500000000002,25.974999999999998,59.0,59.0,0.0
44.37500000000002,25.979999999999997,59.0,59.0,0.0
44.37500000000002,25.984999999999996,58.0,58.0,0.0
44.37500000000002,25.989999999999995,58.0,58.0,0.0
44.37500000000002,25.994999999999994,69.0,69.0,0.0
44.37500000000002,25.999999999999993,69.0,69.0,0.0
44.37500000000002,26.004999999999992,69.0,69.0,0.0
44.37500000000002,26.00999999999999,67.0,67.0,0.0
44.37500000000002,26.01499999999999,67.0,67.0,0.0
44.37500000000002,26.01999999999999,67.0,67.0,0.0
44.37500000000002,26.024999999999988,67.0,67.0,0.0
44.37500000000002,26.029999999999987,66.0,66.0,0.0
44.37500000000002,26.034999999999986,66.0,66.0,0.0
44.37500000000002,26.039999999999985,66.0,66.0,0.0
44.37500000000002,26.044999999999984,66.0,66.0,0.0
44.37500000000002,26.049999999999983,55.0,55.0,0.0
44.37500000000002,26.054999999999982,126.0,126.0,0.0
44.37500000000002,26.05999999999998,126.0,126.0,0.0
44.37500000000002,26.06499999999998,55.0,55.0,0.0
44.37500000000002,26.06999999999998,44.0,44.0,0.0
44.37500000000002,26.074999999999978,44.0,44.0,0.0
44.37500000000002,26.079999999999977,38.0,38.0,0.0
44.37500000000002,26.084999999999976,38.0,38.0,0.0
44.37500000000002,26.089999999999975,28.0,37.0,0.2432432432432432
44.37500000000002,26.094999999999974,23.0,39.0,0.41025641025641024
44.37500000000002,26.099999999999973,52.0,52.0,0.0
44.37500000000002,26.104999999999972,55.0,55.0,0.0
44.37500000000002,26.10999999999997,35.0,35.0,0.0
